student_id,age,gender,program,enrollment_year,hours_studied,attendance,previous_grade,current_midterm,sleep_hours,commute_time,num_assignments_late,internet_access,final_grade,passed
S056,23,Female,IDM,2023,11.6,74.3,87.7,71.8,8.8,19,1,Yes,79.2,Yes
S057,22,Male,IDM,2023,10.7,71.8,72.2,49.6,7.7,62,0,Yes,63.3,No
S058,25,Male,ITC,2024,20.9,88.3,78.7,60.1,6.3,32,2,Yes,72.4,Yes
S059,18,Female,ITC,2025,12.1,88.2,72.3,63.7,4.8,49,2,Yes,79.6,Yes
S060,18,Male,ITC,2025,14.2,100,77,54.8,6.6,45,4,Yes,62.3,No
S061,25,Female,ITC,2024,10.3,76.4,64.8,40.3,8.4,31,2,Yes,50.3,No
S062,19,Male,ITC,2023,6.7,69.6,78.5,48.1,7.7,5,4,Yes,49.8,No
S063,20,Female,ITC,2025,7.1,86.6,72.8,38.5,7.9,5,0,Yes,49.1,No
S064,23,Female,ITC,2025,10.9,96.8,52.7,47.8,6.4,33,3,Yes,57.9,No
S065,24,Female,ITC,2022,2,81.8,84.3,45.6,6.7,37,0,Yes,60.6,No
S066,24,Female,ITC,2024,11,79.5,69.6,48.3,6.2,67,1,Yes,61.8,No
S067,20,Male,ITC,2022,11.2,83.3,71.7,54.2,6,57,2,Yes,64.3,No
S068,24,Female,ITC,2024,19.3,73.8,99.6,62.6,7.4,25,2,Yes,79.7,Yes
S069,24,Female,ITC,2024,5.1,89.7,69.1,35,5.3,39,4,Yes,53,No
S070,25,Female,ITC,2022,10.9,82.1,98.1,36.2,5.9,26,2,Yes,68.3,No
S071,18,Female,ITC,2024,11.1,85.6,81.7,48.2,6.2,86,0,Yes,66.8,No
S072,23,Female,ITC,2025,14.1,91.6,68.5,68.8,5.6,5,0,Yes,75.7,Yes
S073,22,Female,ITC,2023,3.6,49.6,54.6,35,5.3,73,1,Yes,45.1,No
S074,21,Male,ITC,2022,12.6,75.2,83.5,60.8,6.7,47,0,Yes,71.1,Yes
S075,24,Female,ITC,2024,7.4,82.1,66.1,49.9,5.5,42,0,Yes,61.4,No
S076,23,Non-binary,ITC,2023,7.1,85.1,75,50.8,7.1,39,2,Yes,58.3,No
S077,24,Male,ITC,2024,8.2,79.8,65,50,7.1,60,0,Yes,56.3,No
S078,24,Female,IDM,2022,11.9,94.8,67.4,57.8,7.7,30,0,Yes,68.4,No
S079,24,Non-binary,IDM,2025,6.9,73.7,76.8,57.1,7.3,42,1,Yes,61,No
S080,25,Female,IDM,2024,5.7,89.5,75.3,44.3,7.6,34,5,Yes,49.6,No
S081,21,Female,IDM,2024,9.1,78.8,66.6,40,7.9,10,0,Yes,49.9,No
S082,24,Male,IDM,2023,10.6,78.9,62.8,35,6.5,70,3,Yes,50,No
S083,18,Male,IDM,2023,18.5,96.5,78.9,40.7,7.3,43,3,Yes,65.6,No
S084,21,Non-binary,IDM,2024,13,80.5,69.3,38.1,4.3,29,1,Yes,52.1,No
S085,23,Male,IDM,2023,12.7,79.9,71.7,38.1,6,69,1,Yes,59.6,No
S086,24,Male,IDM,2025,15.8,85.1,79.3,58.1,6.5,35,1,No,72.6,Yes
S087,20,Male,IDM,2024,10.7,95.1,94.5,74.1,7.4,7,3,Yes,84.7,Yes
S088,23,Female,IDM,2022,9.1,81.8,85.1,51.4,4,21,4,Yes,59.7,No
S089,19,Male,IDM,2023,10.7,79.1,81.4,49.8,5.8,38,1,Yes,57.6,No
S090,18,Female,IDM,2023,5,90.1,85.9,35,7.3,28,2,Yes,57.5,No
S091,19,Female,IRS,2022,14.5,73,88.5,64.8,9,58,0,No,84.2,Yes
S092,21,Male,ITC,2025,9,84.8,79.3,39.3,7.3,30,2,Yes,57.8,No
S093,25,Male,ITC,2024,17.1,83,96.6,54.6,4.9,24,2,No,85.7,Yes
S094,22,Male,ITC,2025,11.5,82.2,78.8,50.9,6.5,19,1,Yes,67.7,No
S095,18,Female,ITC,2022,5.4,80.7,77.4,37.9,6.5,60,0,Yes,55,No
S096,19,Male,ITC,2025,9.5,97.3,67.5,44.7,5.9,5,0,Yes,68.4,No
S097,18,Female,ITC,2025,11.4,90.5,92.1,55.8,5.5,13,0,Yes,71.5,Yes
S098,21,Female,IDM,2025,11.7,62.5,84.9,38.2,4.8,30,1,Yes,58.6,No
S099,21,Female,IDM,2022,13.7,87,94.3,57.5,6.9,15,2,Yes,72.4,Yes
S100,21,Female,IDM,2025,8.7,74.9,80,54.4,6.8,50,0,Yes,78,Yes
S101,20,Male,ITC,2023,6.6,87.5,89.6,55.4,7.4,5,1,Yes,65.4,No
S102,22,Male,ITC,2024,11.9,76,92.9,47.1,5.8,36,0,Yes,71.7,Yes
S103,22,Male,ITC,2024,13.3,86.4,100,65,5.9,45,0,No,87.6,Yes
S104,25,Female,ITC,2022,12.6,78.1,91.6,66.5,7.9,9,1,Yes,75.5,Yes
S105,21,Male,ITC,2025,13.4,73.7,90.3,43.1,7.5,34,4,Yes,56.6,No
S106,22,Male,ITC,2025,12.5,72,75.3,48,6.4,57,1,Yes,57.4,No
S107,18,Male,ITC,2022,3.5,76.9,80.4,50.8,9.7,7,3,Yes,62.9,No
S108,23,Female,ITC,2024,5.2,88.9,69.7,40.3,7.5,38,2,Yes,49.3,No
S109,22,Male,IDM,2023,12.3,81.9,77.3,53.4,7,28,1,Yes,69.8,No
S110,23,Male,IDM,2023,12.7,84.4,70.3,50.4,7.8,21,5,Yes,62.4,No
S111,22,Male,IDM,2023,8.1,86.1,71.9,46.6,5.2,53,1,Yes,60.7,No
S112,22,Female,IDM,2022,8.1,74.3,83.9,37.4,7.2,44,1,Yes,61.3,No
S113,23,Male,IRS,2022,17.5,84,59.2,45.3,7.6,51,3,Yes,54.9,No
S114,20,Male,IDM,2023,6.5,88.8,95.9,63.5,6.4,13,1,Yes,73.8,Yes
S115,19,Female,ITC,2024,12.1,89.9,67.7,52.3,5.8,28,0,Yes,74.5,Yes
S116,23,Female,IDM,2022,12,80.9,60.3,40.9,8,8,1,Yes,61.5,No
S117,25,Male,ITC,2024,11,96.4,68.1,57.2,7.3,5,0,Yes,64.5,No
S118,19,Female,ITC,2022,7.1,74.8,72.2,53.6,8,5,3,Yes,68.2,No
S119,23,Female,ITC,2022,9.7,76.1,85.5,49,6.8,65,1,Yes,70.4,Yes
S120,19,Male,IBQ,2022,7.4,85.2,100,48.7,6.5,28,1,Yes,67.3,No
